StudentID,Activity,Participation Status,Hours Per Week,Role,Start Date,End Date
S001,Football,Active,5,Player,2023-09-01,2024-06-30
S002,Debate Club,Inactive,0,Member,2022-09-01,2023-06-30
S003,Art Club,Active,3,President,2023-01-01,2024-01-01
S004,Volunteering,Active,4,Volunteer,2023-05-15,2024-05-15
S005,Music Band,Active,6,Musician,2023-08-01,2024-06-30
S006,Drama Club,Inactive,0,Actor,2022-09-01,2023-05-01
S007,Football,Active,6,Coach,2023-02-01,2024-02-01
S008,Student Government,Active,3,Secretary,2023-09-01,2024-06-30
S009,Volunteering,Inactive,0,Volunteer,2022-10-01,2023-04-30
S010,Chess Club,Active,2,Member,2023-03-01,2024-03-01
S011,Music Band,Active,5,Drummer,2023-06-01,2024-06-30
S012,Football,Active,7,Player,2023-08-15,2024-06-30
S013,Art Club,Inactive,0,Member,2022-11-01,2023-06-01
S014,Debate Club,Active,2,President,2023-01-01,2024-01-01
S015,Volunteering,Active,3,Volunteer,2023-04-01,2024-04-01
S016,Student Government,Active,4,President,2023-09-01,2024-06-30
S017,Drama Club,Active,3,Member,2023-02-01,2024-02-01
S018,Music Band,Inactive,0,Member,2022-08-01,2023-05-01
S019,Football,Active,8,Player,2023-09-01,2024-06-30
S020,Chess Club,Inactive,0,Member,2022-09-01,2023-06-01
